"Name","Disc. Date","mmax","R.A.","Dec."
"SN2003gd","2003/06/12","13.15","01:36:42.65,01:36:42.648","+15:44:19.9,+15:44:20.04,+15:44:20.90"
"SN2012ei","2012/08/22","13.2","14:24:05.71,14:24:05.76","+33:02:56.5,+33:02:57.2,+33:02:56.51"
"SN2008Q","2008/01/26","13.24","01:24:57.23,01:24:57.207","+09:33:01.5,+09:33:01.30,+09:33:01.51"
"SN2004gk","2004/11/25","13.3","12:25:33.21,12:25:33.23","+12:15:39.9,+12:15:40.10"
"SN2013cg","2013/05/06","13.3","09:26:56.77","-24:46:59.6,-24:46:59.59"
"SN2007oc","2007/11/03","13.3","22:56:41.77","-36:46:22.3,-36:46:22.30"
"SN2003gs","2003/07/29","13.32","02:27:38.36","-01:09:35.4,-01:09:35.39"
"SN2013ab","2013/02/17","13.33","14:32:44.49,14:32:44.4","+09:53:12.3,+09:53:12.30,+09:53:12.336"
"SN2005cf","2005/05/28","13.34","15:21:33.36,15:21:32.21","-07:26:55.464,-07:24:47.5,-07:24:47.48"
"SN2010B","2010/01/07","13.36","13:54:08.74,13:54:08.82,13:54:08.7","+60:40:50.4,+60:40:49.58"
"SN2008fp","2008/09/11","13.39","07:16:32.60,07:16:32.64,07:16:32.6","-29:19:31.7,-29:19:31.80,-29:19:31.69"
"SN2004eq","2004/07/30","13.4","21:57:09.46","-34:34:51.3,-34:34:51.31"
"SN2008cq","2008/05/29","13.4","14:21:09.61","-29:15:04.9,-29:15:04.90,-29:15:04"
"SN2007od","2007/11/02","13.46","23:55:48.68","+18:24:54.8,+18:24:54.79"
"SN2013ak","2013/03/09","13.5","08:07:06.69","-28:03:10.1,-28:03:10.12"
"SN2012dh","2012/06/26","13.5","13:11:09.04","-28:00:33.1,-28:00:33.08"
"SN2007le","2007/10/13","13.51","23:38:48.452,23:38:48.48,23:38:48.41","-06:31:21.83,-06:31:21.684,-06:31:21.29,-06:31:21.3"
"CSS120611:124020+155337","2006/03/25","13.51","12:40:19.92","+15:53:36.96"
"SN2012ec","2012/08/11","13.59","02:45:59.89,02:45:59.87,02:45:59.88","-07:34:25.0,-07:34:24.1,-07:34:27.01"
"SN2007no","2007/10/09","13.59","02:41:05.71,02:41:05.70,02:41:05.712","-03:38:13.6,-03:38:14.1,-03:38:14.10,-03:38:13.596"
"SN2006E","2006/01/12","13.6","13:53:28.65,13:53:28.56,13:53:28.52","+05:12:22.8,+05:12:22.284,+05:12:22.32,+05:12:22.79,+05:12:22.2"
"SN2008jb","2008/11/23","13.6","03:51:44.66,03:51:44.64","-38:27:00.1,-38:27:00.11,-38:27:00.36"
"SN2008in","2008/12/26","13.65","12:22:01.77,12:22:01.68","+04:28:47.5,+04:28:47.50,+04:28:47.964"
"SN2005am","2005/02/22","13.66","09:16:12.47,09:16:12.96","-16:18:16.0,-16:18:15.84,-16:18:15.98"
"SN2012dn","2012/07/08","13.67","20:23:36.26","-28:16:43.4,-28:16:43.39"
"SN2010ev","2010/06/27","13.7","10:25:28.99","-39:49:51.2,-39:49:51.20"
"SN2012hr","2012/12/16","13.71","06:21:38.46,06:21:38.472","-59:42:50.6,-59:42:50.62,-59:42:50.76"
"SN2009nr","2009/12/22","13.71","13:10:58.95,13:10:58.94","+11:29:29.3,+11:29:29.29,+11:29:29.6"
"SN2007bm","2007/04/20","13.73","11:25:02.30,11:25:2.40","-09:47:53.8,-09:47:53.81"
"SN2003cg","2003/03/21","13.77","10:14:15.97,10:14:16.00,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:02.50,+03:28:01.79"
"SN2011hr","2011/11/08","13.8","08:54:46.03,08:54:46.02","+39:32:16.1,+39:32:16.12"
"SN2005cn","2005/06/19","13.8","13:18:00.46","-26:48:33.1,-26:48:33.08"
"SN2005V","2005/01/30","13.8","06:18:38.28","+78:21:28.8,+78:21:28.80"
"SN2009fj","2009/05/27","13.8","12:06:22.97","-44:27:34.3,-44:27:34.31"
"SN2013cs","2013/05/14","13.83","13:15:14.81,13:15:14.88","-17:57:55.6,-17:57:55.65,-17:57:55.58,-17:57:55.44,-17:57:55.8"
"SN2012hc","2012/11/10","13.83","02:32:40.96,02:32:40.944","-39:17:56.2,-39:17:56.18,-39:17:55.68"
"SN2013E","2013/01/04","13.86","10:00:05.52","-34:14:01.3,-34:14:01.28,-34:14:00.6"
"SSS120707:200325-555719","2012/07/07","13.87","20:03:24.72","-55:57:19.08"
"CSS130109:120259+144638","2013/01/09","13.87","12:02:58.79,12:02:58.8","+14:46:38.1,+14:46:37.92"
"SN2009dd","2009/04/13","13.88","12:05:34.10,12:05:34.1","+50:32:18.6,+50:32:18.60,+50:32:19.4"
"SN2008fq","2008/09/15","13.89","20:25:06.19","-24:48:27.6,-24:48:27.61"
"SN2006mr","2006/11/05","13.9","03:22:42.84,03:22:43.03","-37:12:28.5,-37:12:29.16,-37:12:28.51"
"SN2011ao","2011/03/03","13.9","11:53:51.03,11:53:51.12,11:53:51.01,11:53:51.02","+33:21:46.3,+33:21:46.08,+33:21:46.19,+33:21:46.2"
"SN2011aa","2011/02/06","13.9","07:36:42.63,07:36:42.48","+74:26:34.8,+74:26:35.52,+74:26:34.80,+74:26:34.7"
