"Name","Disc. Date","mmax","R.A.","Dec."
"SN2005M","2005/01/19","15.91","09:37:32.40,09:37:32.36","+23:12:02.88,+23:12:02.7,+23:12:02.70"
"SN2006le","2006/10/26","15.91","05:00:41.99,05:00:41.904","+62:15:19.0,+62:15:18.72,+63:15:19.01"
"SN2009er","2009/05/22","15.92","15:39:29.84,15:39:30","+24:26:05.3,+24:26:05.32,+24:26:06"
"SN2010ld","2010/11/03","15.92","09:04:03.07,09:04:03.12","+09:05:27.9,+09:05:27.89,+09:05:27.924"
"SN2007F","2007/01/11","15.93","13:03:15.08,13:03:15.12","+50:37:07.7,+50:37:07.68,+50:37:07.72"
"CSS130113:101554+045213","2013/01/13","15.93","10:15:53.51,10:15:53.52","+04:52:12.5,+04:52:12.54"
"SN2009F","2009/01/04","15.94","04:59:23.56,04:59:23.57","-11:07:50.1,-11:07:50.16,-11:07:50.09"
"SN2007ss","2007/12/20","15.94","12:41:06.07,12:41:06.150","+50:23:28.7,+50:23:28.51,+50:23:28.72"
"SN2011bm","2011/04/04","15.95","12:56:53.89,12:56:53.88,12:56:53.94","+22:22:28.2,+22:22:28.20,+22:22:28.1"
"OGLE-2012-SN-040","2012/11/24","15.95","06:07:01.59","-69:21:17.1"
"CSS100217:102913+404220","2010/02/17","15.95","10:29:13.0,10:29:12.56,10:29:12.48","+40:42:20,+40:42:20.0,+40:42:19.8"
"SN2006dm","2006/07/03","15.96","23:41:47.84","-03:40:08.4,-03:40:08.40"
"SN2013ag","2013/03/02","15.97","12:51:35.02","+26:37:45.4,+26:37:45.41"
"SN2009E","2009/01/03","15.98","12:09:49.56","+58:50:50.3,+58:50:50.32"
"SN2007qe","2007/11/13","15.98","23:54:12.96,23:54:12.98","+27:24:33.12,+27:24:33.4,+27:24:33.41"
"SN2010ia","2010/09/16","15.98","03:56:56.20,03:56:56.208","+08:30:45.1,+08:30:45.11,+08:30:45.108"
"SN2009gf","2009/06/15","15.99","14:15:37.11,14:15:37.127,14:15:37.12","+14:16:48.6,+14:16:48.74,+14:16:48.68"
"SN2010ht","2010/08/13","15.99","23:34:47.45,23:34:47.52","-12:50:36.1,-12:50:36.10,-12:50:36.24"
"SN2013gu","2013/12/05","15.99","01:46:38.27,01:46:38.28","+04:13:24.4,+04:13:24.38,+04:13:26.94"
"SN2009jr","2009/10/08","16","20:26:26.03,20:26:26.013,20:26:25.92","+02:54:32.1,+02:54:31.73,+02:54:32.004,+02:54:33.01"
"SN2003Z","2003/01/29","16","09:07:32.46,09:07:32.468","+60:29:17.5,+60:29:17.48,+60:29:17.59"
"SN2007sw","2007/12/29","16","12:13:36.88,12:13:36.933","+46:29:36.1,+46:29:36.56,+46:29:36.10"
"SN2005be","2005/04/05","16","14:59:32.72,14:59:32.64","+16:40:11.6,+16:40:11.64,+16:40:11.60"
"SN2003hk","2003/08/20","16","02:46:25.69,02:46:25.68,02:46:25.76","+03:36:32.3,+03:36:32.292,+03:36:32.29,+03:36:32.2"
"SN2005ms","2005/12/27","16","08:49:14.34,08:49:14.4","+36:07:47.9,+36:07:48,+36:07:47.89"
"SN2006bc","2006/03/24","16","07:21:16.50","-68:59:57.3,-68:59:57.30"
"PTF11gdh","2011/06/21","16","13:00:38.06,13:00:38.16","+28:03:24.2,+28:03:24.12"
"SN2009au","2009/03/11","16","12:59:46.00","-29:36:07.5,-29:36:07.49"
"SN2003J","2003/01/11","16","12:10:57.72,12:10:57.728","+50:28:31.8,+50:28:31.80,+50:28:31.89"
"SN2003ag","2003/02/07","16","11:26:01.82,11:26:01.828","+01:59:02.8,+01:59:02.80,+01:59:02.89"
"SN2012cw","2012/06/14","16","10:13:47.95","+03:26:02.6,+03:26:02.62"
"SN2003aa","2003/01/31","16","10:46:36.82,10:46:36.828","+13:45:32.2,+13:45:32.18,+13:45:32.29"
"SN2003ei","2003/05/19","16","16:28:40.30,16:28:40.308","+12:46:05.8,+12:46:05.81,+12:46:05.89"
"SN2003hy","2003/09/13","16","21:54:22.72,21:54:22.73","+15:09:37.8,+15:09:37.2,+15:09:37.80"
"SN2003jz","2003/11/13","16","09:46:28.67","+45:45:04.7,+45:45:04.72"
"SN2004am","2004/03/05","16","09:55:46.61","+69:40:38.1,+69:40:38.10"
"SN2004ch","2004/05/28","16","14:34:06.27","-78:23:09.5,-78:23:09.49"
"SN2005cz","2005/07/17","16","12:37:27.85","+74:11:24.5,+74:11:24.50"
"SN2005ee","2005/08/25","16","23:57:55.83,23:57:55.88","+32:38:08.9,+32:38:14.50,+32:38:14.5"
"SN2005ev","2005/10/06","16","02:31:04.93","+27:42:06.5,+27:42:06.52"
"SN2006dr","2006/07/17","16","03:17:14.19","-32:34:31.8,-32:34:31.80"
"SN2006rs","2006/11/11","16","00:33:09.13","-13:27:16.2,-13:27:16.20"
"SN2007E","2007/01/10","16","02:26:34.41","-15:50:36.5,-15:50:36.49"
"SN2008az","2008/03/09","16","17:08:26.03","+25:31:02.0,+25:31:01.99"
"SN2008cs","2008/04/21","16","17:16:35.85","-10:20:43.0,-10:20:43.01"
"SN2008ib","2008/12/02","16","12:52:37.99,12:52:37.94,12:52:37.88","-39:01:32.6,-39:01:32.59,-39:01:33.7"
"SN2008r3","2008/07/12","16","12:56:42.68","+27:30:40.6"
"SN2009A","2009/01/02","16","01:52:44.34","-03:23:48.2,-03:23:48.19"
"SN2009fy","2009/06/01","16","23:24:05.13","+16:39:50.9,+16:39:50.90"
"SN2009hh","2009/07/10","16","03:20:34.73","-18:42:54.4,-18:42:54.40"
"SNF20080512-001","2008/05/12","16","15:28:36.89","-21:13:50.5"
"ASASSN-13cp","2013/08/30","16","15:33:49.236,15:33:49.24,15:33:49.2","+21:08:21.87,+21:08:21.9,+21:08:20.4"
"MASTER OT J043254.33+205641.8","2013/01/02","16","04:32:54.33","+20:56:41.8"
"PSN J02263653+1208555","2012/08/27","16","02:26:36.53","+12:08:55.5"
"PSN J10412778-3146480","2012/05/06","16","10:41:27.78","-31:46:48.0"
"PTF10vgv","2010/09/14","16","22:16:01.17","+40:52:03.3"
"PTF11mpa","2011/09/20","16","17:05:11.64","+43:54:02.7"
"SN2010ad","2010/02/18","16","16:02:13.56","+15:56:18.8,+15:56:18.82"
"SN2010gz","2010/08/16","16","01:32:51.07","-12:11:21.5,-12:11:21.52"
"SN2011ah","2011/02/05","16","05:53:50.77","-32:44:44.2,-32:44:44.20"
"SN2011bd","2011/03/24","16","17:47:06.32","+57:18:04.7,+57:18:04.72,+57:18:04.6"
"SN2011dp","2011/06/02","16","01:45:24.77","-03:49:35.3,-03:49:35.29,-03:49:35.2"
"SN2011hx","2011/11/01","16","02:32:07.96","+41:05:00.5,+41:05:00.49"
"SN2011ic","2011/11/18","16","10:15:33.21,10:15:33.20","-20:34:06.0,-20:34:05.99"
"SN2011is","2011/11/21","16","14:01:47.00,14:01:47.16,14:01:47.20","+09:29:50.1,+09:29:48.80,+09:29:45.36"
"SN2012cl","2012/05/10","16","10:14:50.93","-43:37:48.8,-43:37:48.79"
"SN2012ha","2012/11/20","16","13:00:36.10","+27:34:24.6,+27:34:24.60"
"SN2012ib","2012/12/20","16","15:03:54.87","+42:06:55.3,+42:06:55.30"
"SN2012ig","2012/12/21","16","21:14:22.87","+15:14:40.7,+15:14:40.70"
"SN2008bo","2008/03/31","16.01","18:19:54.41,18:19:54.34","+74:34:21.0,+74:34:20.9,+74:34:20.89"
"SDSS-II SN 16966","2006/08/28","16.01","22:44:28.8","-00:13:18.3252,-00:13:18.372"
"SN2012hd","2012/11/20","16.01","01:14:07.46","-32:39:07.7,-32:39:07.70"
"SN2006az","2006/03/23","16.02","12:12:14.68","+56:10:45.8,+56:10:45.80"
"SN2006mp","2006/11/03","16.02","17:12:00.20","+46:33:20.8,+46:33:20.81"
"SN2013dn","2013/06/14","16.02","23:37:45.74,23:37:45.84","+14:42:37.1,+14:42:37.12,+14:42:37.08"
"SN2011ch","2011/04/27","16.03","13:02:54.31,13:02:54.24","+49:52:29.1,+49:52:29.10,+49:52:29.28"
"SN2005ci","2005/06/10","16.04","14:34:44.88","+48:40:19.8,+48:40:19.92,+48:40:19.81"
"SN2012id","2012/12/20","16.04","04:42:41.14,04:42:41.112","+18:34:59.7,+18:34:59.70,+18:34:59.52"
"SN2012hp","2012/12/09","16.05","03:54:17.33,03:54:17.328","+36:30:38.7,+36:30:38.70,+36:30:38.88"
"LSQ13zm","2013/04/13","16.05","10:26:54.55","+19:52:55.2"
"SN2006be","2006/03/24","16.05","15:45:39.00","+28:05:19.2,+28:05:19.21"
"SN2009bq","2009/03/19","16.05","09:17:21.03,09:17:21.12","-05:08:39.3,-05:08:39.30,-05:08:39.264"
"SN2009ik","2009/08/22","16.05","12:43:51.21,12:43:51.12","-00:34:54.4,-00:34:54.41,-00:34:53.688"
"CSS100916:003551-160324","2010/09/15","16.05","00:35:51.43,00:35:51.427","-16:03:23.6,-16:03:23.76"
"SN2008hm","2008/11/25","16.06","03:27:10.90,03:27:10.889,03:27:10.896","+46:56:39.6,+46:56:39.20,+46:56:39.12,+46:56:39.59"
"SN2009gt","2009/06/25","16.07","10:04:06.78,10:04:06.72","+31:12:29.3,+31:12:29.30,+31:12:29.16"
"SN2007I","2007/01/14","16.08","11:59:13.15,11:59:13.2","-01:36:18.9,-01:36:19.08,-01:36:18.90"
"PTF12dam","2012/04/10","16.08","14:24:46.20,14:24:46.228","+46:13:48.3,+46:13:48.64"
"SN2008cm","2008/05/24","16.08","07:16:38.75","-62:18:52.9,-62:18:52.88"
"SN2012cp","2012/05/23","16.08","13:47:01.68","+33:53:36.0,+33:53:35.99"
"LSQ13ry","2013/03/30","16.09","10:32:48.00","+04:11:51.4,+04:11:51.75,+04:11:51.8"
"SN2010ai","2010/03/08","16.09","12:59:24.00,12:59:24.005,12:59:24,12:59:24.03","+27:59:47.5,+27:59:47.13,+27:59:46.32,+27:59:47.4,+27:59:47.11,+27:59:47.1"
"SN2003ip","2003/10/01","16.09","00:33:16.76,00:33:16.7592","+07:54:19.5,+07:54:19.512,+07:54:19.51"
"SN2005na","2005/12/31","16.1","07:01:36.62,07:01:36.72","+14:07:59.7,+14:07:58.8,+14:07:59.88,+14:07:59.70"
"SN2006fo","2006/09/16","16.1","02:32:38.89,02:32:38.88","+00:37:03.0,+00:37:03,+00:37:03.036,+00:37:03.0288,+00:37:02.7372,+00:37:03.00"
"SN2008hs","2008/12/01","16.1","02:25:29.62,02:25:29.594,02:25:29.616","+41:50:35.1,+41:50:34.92,+41:50:35.16,+41:50:35.09"
"SN2007co","2007/06/04","16.1","18:23:03.60,18:23:03.6","+29:53:49.6,+29:53:49.56,+29:53:49.49,+29:53:49.5"
"SN2003he","2003/08/11","16.1","23:58:57.05,23:58:57.058","-02:14:53.1,-02:14:53.09,-02:14:53.19"
"SN2007aj","2007/03/03","16.1","12:47:54.45,12:47:54.524","+54:00:37.2,+54:00:38.08,+54:00:37.19"
"SN2010ag","2010/03/05","16.1","17:03:53.63,17:03:53.653,17:03:53.52","+31:30:06.2,+31:30:06.70,+31:30:05.4,+31:30:06.19"
"SN2004bw","2004/05/26","16.1","15:03:46.75","-03:18:16.4,-03:18:16.42"
"SN2010gp","2010/07/14","16.1","16:52:57.39","+02:23:16.4,+02:23:16.40"
"SN2004E","2004/01/15","16.1","13:16:51.40","+31:35:11.8,+31:35:11.80"
"SN2005Z","2005/01/31","16.1","10:45:09.18,10:45:09.07","+22:04:38.3,+22:04:38.32"
"SN2011M","2011/01/19","16.1","05:00:41.55","+62:14:38.6,+62:14:38.62"
"SN2006ou","2006/11/22","16.1","11:37:13.10,11:37:13.039","+15:26:07.3,+15:26:06.59,+15:26:07.30"
"SN2003it","2003/10/13","16.1","00:05:48.47","+27:27:09.6,+27:27:09.61"
"SN2010ex","2010/07/01","16.1","23:00:10.781,23:00:10.8,23:00:10.90","+26:05:47.54,+26:05:56.04,+26:05:57.2,+26:05:57.19"
"SN2011hk","2011/10/31","16.1","02:18:45.81,02:18:45.816,02:18:45.79,02:18:45.84","-06:38:30.5,-06:38:30.516,-06:38:30.08,-06:38:30.3"
"SN2005dg","2005/08/05","16.1","04:07:46.25","-29:51:28.1,-29:51:28.12"
"SN2005dj","2005/08/18","16.1","06:49:58.41","+61:37:08.5,+61:37:08.51"
"SN2005ly","2005/12/21","16.1","01:23:28.84","+30:46:45.7,+30:46:45.70"
"SN2006di","2006/06/24","16.1","01:13:46.85","-31:44:30.2,-31:44:30.19"
"SN2007cm","2007/05/24","16.1","12:42:45.18","+55:08:57.1,+55:08:57.08"
"SN2008io","2008/12/26","16.1","12:50:02.61","-14:42:55.7,-14:42:55.69"
"SN2008P","2008/01/23","16.1","08:28:39.18","+73:45:02.9,+73:45:02.92"
"SN2009ah","2009/02/19","16.1","11:59:12.06","-53:24:06.5,-53:24:06.52"
"SN2009fr","2009/06/01","16.1","01:32:15.05","-33:29:49.6,-33:29:49.60"
"SN2009ge","2009/06/11","16.1","16:56:53.05","-65:57:18.9,-65:57:18.90"
"SN2009P","2009/01/28","16.1","11:20:38.78","-03:32:46.3,-03:32:46.28"
"SN2009U","2009/02/02","16.1","11:43:18.72","-12:52:46.1,-12:52:46.09"
"ASASSN-13dl","2013/10/10","16.1","07:38:49.54,07:38:49.44","+58:12:43.3,+58:12:43.2"
"LSQ12cyz","2012/06/08","16.1","23:56:41.30","+03:13:13.1"
"MASTER OT J131320.36+692648.3","2011/05/14","16.1","13:13:20.36","+69:26:48.3"
"PSN J16250196+4057032","2012/06/12","16.1","16:25:01.96","+40:57:03.2"
"PSN J19234877+3450324","2011/09/02","16.1","19:23:48.77","+34:50:32.4"
"SN2010cm","2010/05/03","16.1","01:30:03.91","-42:41:10.6,-42:41:10.61"
"SN2010co","2010/05/06","16.1","20:08:54.92","-56:23:40.8,-56:23:40.81"
"SN2010do","2010/06/01","16.1","13:57:28.11","+06:05:48.5,+06:05:48.52,+06:05:48.3"
"SN2010hc","2010/08/05","16.1","19:55:08.24,19:55:08.16","-39:21:58.5,-39:21:58.50,-39:21:58.32"
"SN2010ls","2010/12/29","16.1","13:40:51.56","-48:23:03.1,-48:23:03.08"
"SN2011fj","2011/08/28","16.1","20:13:55.16,20:13:55.15","-01:09:22.2,-01:09:22.21"
"SN2011in","2011/11/10","16.1","09:42:11.36,09:42:11.35","+04:40:23.1,+04:40:23.09"
"SN2011ir","2011/11/21","16.1","11:48:00.32,11:48:00.31","+04:29:47.1,+04:29:47.11,+04:29:47.0"
"SN2011Z","2011/01/29","16.1","13:30:43.04,13:30:42.96","-20:57:14.0,-20:57:14.4,-20:57:14.00"
"SN2012gl","2012/10/29","16.1","10:12:50.32","+12:40:56.7,+12:40:56.71"
"SN2012hv","2012/12/16","16.1","12:47:29.30","-43:19:44.3,-43:19:44.29"
"SN2013C","2013/01/04","16.1","11:05:55.22","+72:31:20.3,+72:31:20.32"
"SN2013db","2013/05/29","16.1","11:40:43.99","+22:25:54.9,+22:25:54.91"
"SN2013dm","2013/05/02","16.1","13:50:52.85,13:50:52.90","-30:17:09.7,-30:17:09.38"
"SN2013ef","2013/07/04","16.1","01:55:20.71,01:55:20.710,01:55:20.88","+06:36:35.3,+06:36:35.32,+06:36:35.28,+06:36:33.876"
"SN2013gv","2013/12/04","16.1","03:09:57.30,03:09:57.31","+19:12:48.6,+19:12:49.21,+19:12:49.2"
"SN2009gj","2009/06/20","16.11","00:30:28.56,00:30:28.54","-33:12:56.0,-33:12:56.02,-33:12:56.2"
"ASASSN-13co","2013/08/29","16.12","21:40:38.740,21:40:38.74,21:40:38.4","+06:30:36.87,+06:30:36.9,+06:30:36.36"
"SN2009km","2009/10/23","16.12","03:02:59.01,03:02:59.016","-14:49:01.9,-14:49:01.88,-14:49:01.92"
"SN2005cp","2005/06/21","16.13","23:59:30.88","+18:12:09.6,+18:12:09.61"
"CSS090430:132452-205612","2009/04/30","16.13","13:24:52.43,13:24:52.32","-20:56:12.4,-20:56:12.48"
"SN2011gf","2011/09/18","16.14","21:12:24.27,21:12:24.24","-07:48:52.1,-07:48:52.09,-07:48:52.0,-07:48:52.092"
"MLS110225:104818+085623","2011/02/25","16.14","10:48:17.66,10:48:17.76","+08:56:22.6,+08:56:22.632"
"SN2011jn","2011/12/26","16.14","12:57:14.79,12:57:14.78,12:57:14.88","-17:24:00.5,-17:24:00.50,-17:24:00.72"
"SN2013cu","2013/05/05","16.14","14:33:58.97,14:33:58.8","+40:14:20.7,+40:14:20.69,+40:14:22.92"
"SN2010kd","2010/11/14","16.15","12:08:01.11","+49:13:31.1,+40:13:31.12"
"SN2013fn","2013/09/23","16.15","21:00:23.76","-14:29:52.2,-14:29:52.19,-14:29:52.08"
"SN2013cy","2013/05/31","16.15","22:10:34.21,22:10:34.32","-22:39:48.0,-22:39:47.99,-22:39:47.52"
"SN2008Z","2008/02/07","16.16","09:43:15.25,09:43:15.258,09:43:15.36","+36:17:03.9,+36:17:03.64,+36:17:03.84,+36:17:03.91"
"SN2005A","2005/01/05","16.17","02:30:43.25","-02:56:19.8,-02:56:19.79"
"SN2012P","2012/01/22","16.17","14:59:59.12,14:59:59.04","+01:53:24.4,+01:53:24.40,+01:53:25.1"
"LSQ12fxd","2012/10/31","16.2","05:22:16.99,05:22:17.02,05:22:17.088","-25:35:47.0,-25:35:47.01,-25:35:47.1,-25:35:46.68"
"SN2008gb","2008/10/04","16.2","02:57:57.10,02:57:57.141,02:57:57.168,02:57:57.13","+46:51:56.6,+46:51:56.19,+46:51:56.52,+46:51:56.59"
"SN2008gl","2008/10/20","16.2","01:20:54.82,01:20:54.820,01:20:54.792","+04:48:19.1,+04:48:19.22,+04:48:19.116,+04:48:19.12"
"SN2010aj","2010/03/12","16.2","12:40:15.16","-09:18:14.3,-09:18:14.29"
"SN2003ef","2003/05/11","16.2","12:49:42.25,12:49:42.24,12:49:42.258","-11:05:29.5,-11:05:29.4,-11:05:29.51,-11:05:29.59"
"SN2013eh","2013/07/19","16.2","16:16:09.19","+38:32:53.0,+38:32:53.02"
"SN2004ap","2004/03/08","16.2","10:05:43.81","+10:16:17.1,+10:16:17.11"
"SN2003cp","2003/03/30","16.2","08:09:11.13,08:09:11.138","+57:41:14.0,+57:41:13.99,+57:41:14.09"
"PS1-13dgc","2013/09/20","16.2","01:29:49.21","+51:53:18.3"
"SN2004bu","2004/05/18","16.2","15:54:52.03","+21:07:11.0,+21:07:10.99"
"SN2005gl","2005/10/05","16.2","00:49:50.02","+32:16:56.8,+32:16:56.78"
"SN2007B","2007/01/05","16.2","22:35:31.10","+34:48:06.6,+34:48:06.59"
"SN2007T","2007/02/03","16.2","15:00:45.73","+49:59:24.3,+49:59:24.29"
"SN2008as","2008/02/29","16.2","10:21:47.89","-19:29:42.0,-19:29:42.00"
"SN2008bl","2008/03/25","16.2","14:30:11.82","+27:32:05.6,+27:32:05.60"
"SN2008eg","2008/07/20","16.2","01:51:36.27","+19:06:16.9,+19:06:16.88"
"SN2008fl","2008/09/07","16.2","19:36:44.84","-37:33:04.5,-37:33:04.50"
"SN2009it","2009/08/27","16.2","19:57:48.68","-31:48:35.4,-31:48:35.39"
"SNF20080917-002","2008/09/17","16.2","21:38:31.812,21:38:31.97","+09:51:15.30,+09:51:14.7"
"LSQ12ctm","2012/06/03","16.2","23:39:48.58","-05:52:55.2"
"LSQ12hnj","2012/12/12","16.2","05:12:24.82","-25:46:57.4"
"MASTER PGC045903","2011/04/26","16.2","13:12:56.40,13:12:56.4,13:12:56.30","+47:27:12.5,+47:27:12.6,+47:27:15.0"
"PSN J10130175+1702056","2011/03/04","16.2","10:13:01.75","+17:02:05.5"
"SN2010ck","2010/04/25","16.2","14:04:11.29","+33:18:22.2,+33:18:22.21"
"SN2010lv","2010/12/31","16.2","13:19:42.89","-33:15:18.5,-33:15:18.50"
"SN2011aj","2011/02/18","16.2","16:50:13.98,16:50:13.97","+55:22:28.0,+55:22:27.98"
"SN2011em","2011/08/04","16.2","13:27:13.19,13:27:13.18","+55:29:17.4,+55:29:17.41,+55:29:17.3"
"SN2011fx","2011/08/30","16.2","00:17:59.56","+24:33:46.0,+24:33:46.01"
"SN2012bt","2012/03/07","16.2","18:08:13.05","-62:23:54.2,-62:23:54.20,-62:23:54.3"
"SN2013ae","2013/02/19","16.2","02:41:53.16","+43:23:58.8,+43:23:58.88,+43:23:58.9"
"SN2013dz","2013/07/11","16.2","02:58:24.40","+36:17:03.5,+36:17:03.52"
"SN2013fr","2013/09/28","16.2","04:08:02.35,04:08:02.352","+23:17:39.4,+23:17:39.41,+23:17:39.48"
"SNhunt197","2013/05/18","16.2","12:25:56.92,12:25:56.88","-03:58:38.8,-03:58:38.748"
"CSS110208:135717-093238","2009/04/16","16.21","13:57:16.8","-09:32:38.472"
"CSS130421:145636+174410","2013/04/10","16.22","14:56:35.87,14:56:35.83,14:56:35.76","+17:44:12.6,+17:44:10.5,+17:44:10.32"
"SSS110127:021409-242102","2011/01/27","16.23","02:14:08.65,02:14:08.664","-24:21:01.6,-24:21:01.44"
"SN2011af","2011/01/11","16.23","02:25:54.36","+10:23:11.1,+10:23:11.11,+10:23:11.04"
"SN2011be","2011/03/25","16.23","09:22:52.62,09:22:52.61,09:22:52.56","+21:59:15.7,+21:59:15.68,+21:59:15.6,+21:59:16.08,+21:59:15.72"
"SN2005eq","2005/09/30","16.24","03:08:49.31,03:08:49.392,03:08:49.32","-07:01:59.7,-07:01:59.952,-07:01:59.70"
"SN2005ek","2005/09/24","16.25","03:05:48.96","+36:46:10.6,+36:46:10.60"
"SN2005hg","2005/10/25","16.26","01:55:41.87","+46:47:47.4,+46:47:47.40"
"SN2007N","2007/01/21","16.26","12:49:01.25,12:49:1.20","-09:27:10.2,-09:27:10.19"
"SN2007D","2007/01/09","16.26","03:18:38.71","+37:36:26.4,+37:36:26.39"
"SN2013fy","2013/10/25","16.26","21:37:27.13,21:37:27.12","-47:01:55.6,-47:01:54.80,-47:01:54.8"
"CSS130612:132410+172251","2013/06/12","16.26","13:24:09.90,13:24:09.84","+17:22:51.4,+17:22:51.6"
"SN2011hc","2011/10/23","16.26","20:12:10.07,20:12:10.08","-11:21:57.7,-11:21:57.71,-11:21:57.6"
"SN2010dl","2010/05/24","16.27","21:35:00.97,21:35:00.96","-00:30:47.8,-00:30:48.42,-00:30:47.81,-00:30:47.808"
"SN2011cb","2011/04/29","16.27","22:47:07.49,22:47:07.00","-64:49:43.4,-64:49:43.39,-64:49:43.0"
"SN2006is","2006/09/18","16.28","05:17:34.37","-23:46:54.2,-23:46:54.12,-23:46:54.19"
"SN2008gg","2008/10/09","16.28","01:25:23.04,01:25:23.41","-18:10:20.8,-18:10:20.78,-18:10:20.2,-18:10:20.28"
"SN2010im","2010/10/04","16.28","20:11:31.59,20:11:31.68","-45:41:57.8,-45:41:57.80,-45:41:57.84"
"SN2010K","2010/01/08","16.29","12:02:46.87,12:02:46.86,12:02:46.8","+02:24:06.1,+02:24:06.08,+02:24:06.8,+02:24:06.12"
"SN2006bq","2006/04/23","16.29","18:39:58.88","+39:58:56.8,+39:58:56.78"
"SN2012fi","2012/10/10","16.29","05:21:25.93,05:21:26.088,05:21:25.944","-16:52:55.9,-16:52:55.88,-16:52:58.44,-16:52:55.92"
"SN2007is","2007/09/14","16.3","16:47:14.59,16:47:14.607","+40:14:36.9,+40:14:36.40,+40:14:36.89"
"SN2007kd","2007/09/23","16.3","09:25:58.01,09:25:58.041","+34:37:59.3,+34:38:00.11,+34:37:59.30"
"SN2006ai","2006/02/17","16.3","07:29:52.16","-84:02:20.5,-84:02:20.51"
"SN2003id","2003/09/16","16.3","02:21:35.70","-05:31:51.0,-05:31:50.99"
"SN2004ci","2004/06/16","16.3","15:41:29.83","+15:47:13.1,+15:47:13.09"
"SN2004gz","2004/12/28","16.3","16:13:45.71","+61:01:25.9,+61:01:25.90"
"SN2005ea","2005/09/06","16.3","11:06:47.89","+57:41:07.5,+57:41:07.51"
"SN2006cy","2006/06/09","16.3","13:08:01.23","+26:06:59.0,+26:06:59.00"
"SN2006dh","2006/06/21","16.3","13:41:43.08","+40:52:36.8,+40:52:36.80"
"SN2006ei","2006/08/21","16.3","01:56:37.15","+34:10:37.4,+34:10:37.42"
"SN2007fp","2007/02/26","16.3","10:42:18.21","-00:22:38.4,-00:22:38.39"
"SN2007K","2007/01/16","16.3","09:14:26.21","+36:06:52.4,+36:06:52.42"
"SN2009ha","2009/07/02","16.3","02:36:58.21","-05:20:43.2,-05:20:43.19"
"SN2009in","2009/08/25","16.3","23:22:35.32","-13:05:43.6,-13:05:43.58"
"SN2009ko","2009/10/28","16.3","08:01:58.38","+15:03:34.7,+15:03:34.70"
"SN2009mf","2009/12/06","16.3","01:00:55.88","+47:41:07.7,+47:41:07.69"
"SN2011ff","2011/08/22","16.3","22:45:02.28,22:45:02.4,22:45:03.93,22:45:02.27","+34:00:15.0,+34:00:15.12,+33:59:46.0,+34:00:15.01"
"SN2011hv","2011/11/17","16.3","23:18:16.55,23:18:16.54","+00:15:43.1,+00:15:43.09,+00:15:43.0"
"SN2011jo","2011/12/22","16.3","00:08:34.57","-33:51:14.8,-33:51:14.80"
"SN2011T","2011/01/28","16.3","17:10:03.62,17:10:03.61","+32:30:01.2,+32:30:01.19"
"SN2006qq","2006/11/30","16.32","05:19:50.30,05:19:50.43","-20:58:06.4,-20:58:06.38"
"SN2012I","2012/01/18","16.32","02:58:27.83,02:58:27.84","+06:11:25.3,+06:11:25.30,+06:11:25.332"
"SN2004du","2004/08/12","16.33","21:08:26.51","+18:11:23.7,+18:11:23.71"
"SN2009js","2009/10/11","16.33","02:25:48.28","+18:29:25.8,+18:29:25.80"
"CSS110624:153755+070942","2011/06/24","16.33","15:37:54.70,15:37:54.72","+07:09:41.9,+07:09:41.904"
"SSS120420:204522-504405","2012/04/20","16.33","20:45:22.09,20:45:22.08","-50:44:05.2,-50:44:05.28"
"SN2008ar","2008/02/27","16.34","12:24:37.92,12:24:37.922","+10:50:17.4,+10:50:16.74,+10:50:17.41"
"SN2006ar","2006/03/05","16.35","10:37:31.960,10:37:30.72,10:37:30.75","+65:01:05.92,+65:00:57.96,+65:00:58.1,+65:00:58.10"
"SN2006kf","2006/10/21","16.36","03:41:50.48,03:41:50.47","+08:09:25.0,+08:09:24.98"
"SN2005db","2005/07/19","16.36","00:41:26.79","+25:29:51.6,+25:29:51.61"
"SN2006hx","2006/09/28","16.37","01:13:57.31,01:13:57.312,01:13:57.288","+00:22:18.0,+00:22:18.01,+00:22:17.62,+00:22:18.008,+00:22:17.602,+00:22:18.00"
"SN2012hx","2012/12/04","16.38","05:01:29.88","-13:43:46.4,-13:43:46.42,-13:43:46.56"
"SN2006sr","2006/12/12","16.39","00:03:35.02","+23:11:46.2,+23:11:46.21"
"SN2008hp","2008/11/22","16.39","09:43:26.22,09:43:26.16","+25:10:21.9,+25:10:21.90,+25:10:22.08"
"SN2010cq","2010/05/08","16.39","21:01:44.10,21:01:44.16","-14:38:30.5,-14:38:30.52,-14:38:30.48"
"SN2003fa","2003/06/01","16.4","17:44:07.72,17:44:07.728","+40:52:51.6,+40:52:51.60,+40:52:51.69"
"SN2007au","2007/03/18","16.4","07:11:46.11","+49:51:13.4,+49:51:13.39"
"PTF10bjs","2010/02/19","16.4","13:01:11.215,13:01:11.28,13:01:11.25","+53:48:57.49,+53:48:57.6,+53:48:57.5"
"SN2006cm","2006/05/24","16.4","21:20:17.48,21:20:17.46","-01:41:03.5,-01:41:02.7,-01:41:02.69"
"SN2009bu","2009/03/25","16.4","22:56:01.40","-63:41:39.6,-63:41:39.59"
"SN2006or","2006/11/18","16.4","11:48:03.47","+30:21:24.0,+30:21:24.01"
"SN2009ay","2009/03/20","16.4","17:48:22.97","+54:08:54.7,+54:08:54.71,+54:08:54"
